n,running_fraction_heads
1,0
2,0
3,0.33333333333333331
4,0.25
5,0.40000000000000002
6,0.5
7,0.42857142857142855
8,0.375
9,0.33333333333333331
10,0.40000000000000002
11,0.36363636363636365
12,0.41666666666666669
13,0.46153846153846156
14,0.5
15,0.53333333333333333
16,0.5625
17,0.58823529411764708
18,0.55555555555555558
19,0.52631578947368418
20,0.55000000000000004
21,0.52380952380952384
22,0.5
23,0.47826086956521741
24,0.45833333333333331
25,0.44
26,0.42307692307692307
27,0.40740740740740738
28,0.42857142857142855
29,0.44827586206896552
30,0.43333333333333335
31,0.45161290322580644
32,0.46875
33,0.48484848484848486
34,0.5
35,0.51428571428571423
36,0.5
37,0.48648648648648651
38,0.5
39,0.48717948717948717
40,0.47499999999999998
41,0.46341463414634149
42,0.45238095238095238
43,0.46511627906976744
44,0.47727272727272729
45,0.46666666666666667
46,0.45652173913043476
47,0.44680851063829785
48,0.45833333333333331
49,0.46938775510204084
50,0.46000000000000002
51,0.45098039215686275
52,0.44230769230769229
53,0.45283018867924529
54,0.44444444444444442
55,0.43636363636363634
56,0.44642857142857145
57,0.43859649122807015
58,0.44827586206896552
59,0.44067796610169491
60,0.45000000000000001
61,0.44262295081967212
62,0.45161290322580644
63,0.46031746031746029
64,0.46875
65,0.47692307692307695
66,0.48484848484848486
67,0.4925373134328358
68,0.5
69,0.50724637681159424
70,0.51428571428571423
71,0.50704225352112675
72,0.51388888888888884
73,0.52054794520547942
74,0.52702702702702697
75,0.52000000000000002
76,0.52631578947368418
77,0.51948051948051943
78,0.51282051282051277
79,0.51898734177215189
80,0.51249999999999996
81,0.50617283950617287
82,0.5
83,0.50602409638554213
84,0.5
85,0.49411764705882355
86,0.5
87,0.4942528735632184
88,0.48863636363636365
89,0.4943820224719101
90,0.5
91,0.49450549450549453
92,0.5
93,0.4946236559139785
94,0.48936170212765956
95,0.49473684210526314
96,0.5
97,0.50515463917525771
98,0.51020408163265307
99,0.50505050505050508
100,0.51000000000000001
101,0.51485148514851486
102,0.50980392156862742
103,0.5145631067961165
104,0.50961538461538458
105,0.50476190476190474
106,0.50943396226415094
107,0.50467289719626163
108,0.5
109,0.50458715596330272
110,0.5
111,0.49549549549549549
112,0.5
